"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"P2ry6.3",1.46464418479229e-20,0.537882035460243,0.429,0.067,2.99094988976434e-16,"Mac_4","P2ry6"
"Ppfia4.3",1.56555649847663e-20,0.261437283977858,0.238,0.022,3.19702292553913e-16,"Mac_4","Ppfia4"
"AA467197.2",1.71602041324568e-20,0.703440996559084,0.214,0.019,3.504285285889e-16,"Mac_4","AA467197"
"Sptbn1.14",1.97910298288764e-20,-2.43530717077031,0.762,0.931,4.04152620135484e-16,"Mac_4","Sptbn1"
"Rbm3.5",2.027242822812e-20,1.42808113329644,1,0.834,4.13983256846439e-16,"Mac_4","Rbm3"
"Exosc8",2.12544789548189e-20,0.93078922394957,0.881,0.311,4.34037714736356e-16,"Mac_4","Exosc8"
"Mcph1",2.20161712026282e-20,0.292617174371562,0.381,0.053,4.4959223212887e-16,"Mac_4","Mcph1"
"Alyref",2.61259272848413e-20,1.04090085658624,0.952,0.417,5.33517561083745e-16,"Mac_4","Alyref"
"Il11ra1.15",2.69925150477739e-20,-2.61864850255765,0.214,0.857,5.5121414979059e-16,"Mac_4","Il11ra1"
"H2-Eb1.12",3.71298998609632e-20,2.79651718792857,0.5,0.098,7.58229685060729e-16,"Mac_4","H2-Eb1"
"H2-Aa.9",4.66955957470067e-20,3.07251306108389,0.476,0.09,9.53570760749624e-16,"Mac_4","H2-Aa"
"Aebp1.16",5.09356770652224e-20,-3.04398439914712,0.143,0.845,1.04015746134891e-15,"Mac_4","Aebp1"
"Ppp6r1.4",5.20449239426969e-20,0.550596699680054,0.667,0.15,1.06280939183381e-15,"Mac_4","Ppp6r1"
"Tuba4a.2",5.53877252081755e-20,0.358332707500993,0.524,0.095,1.13107273647615e-15,"Mac_4","Tuba4a"
